Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72632021 6154.2113 0.695092811794 -4.50725447848 2457630.536 0.0147837258593
Si 6155.61320364 6155.116 0.876913832467 -5.37932328174 2457630.536 0.0147837258593
Ca(a) 6156.53053453 6156.01 0.868574947405 -4.24586153987 2457630.536 0.0147837258593
Ca(b) 6166.93380982 6166.422 0.745160441414 -4.7131561211 2457630.536 0.142197124841
Sc(a) 6194.15477367 6193.6502 0.907938475897 -5.173114649 2457630.536 0.0629654287917
V(b) 6199.7176727 6199.2273 0.588267533514 -5.88233126332 2457630.536 0.0629654287917
Sc(b) 6211.18803352 6210.6865 0.684011808789 -5.38700545289 2457630.536 0.035866371478
V(d) 6216.86110197 6216.3595 0.656631512003 -5.40581082183 2457630.536 0.035866371478
Co 6250.0644442 6249.5426 0.831245100336 -4.56264504124 2457630.536 0.0482547622533
V(f) 6252.33002531 6251.8362 0.616794354308 -5.91634678598 2457630.536 0.0482547622533
Ti 6261.61456881 6261.1265 0.575202383622 -6.22732943583 2457630.536 0.0298418346263
